"","Player","Season","Date","Day","Comp","Round","Venue","Result","Squad","Opponent","Start","Pos","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","Prog_Passes","Succ_Dribbles","Att_Dribbles"
"1","Erling Haaland","2021-2022","2021-08-07","Sat","DFB-Pokal","Round of 64","Away","W 3–0","Dortmund","Wehen","Y","FW",90,3,0,1,1,9,7,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Erling Haaland","2021-2022","2021-08-14","Sat","Bundesliga","Matchweek 1","Home","W 5–2","Dortmund","Eint Frankfurt","Y","FW",90,2,2,0,0,6,3,0,0,43,0,0,0,1.6,1.6,0.9,9,5,22,31,71,6,3,4
"3","Erling Haaland","2021-2022","2021-08-17","Tue","DFL-Supercup","DFL-Supercup","Home","L 1–3","Dortmund","Bayern Munich","Y","FW",90,0,0,0,0,2,1,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Erling Haaland","2021-2022","2021-08-21","Sat","Bundesliga","Matchweek 2","Away","L 1–2","Dortmund","Freiburg","Y","FW",90,0,0,0,0,6,2,0,0,31,0,0,0,1,1,0.1,2,0,11,18,61.1,2,0,0
"5","Erling Haaland","2021-2022","2021-08-27","Fri","Bundesliga","Matchweek 3","Home","W 3–2","Dortmund","Hoffenheim","Y","FW",90,1,0,0,0,6,3,0,0,36,0,0,1,1,1,0.3,3,0,17,25,68,1,1,1
"6","Erling Haaland","2021-2022","2021-09-01","Wed","WCQ","First round","Home","D 1–1","Norway","Netherlands","Y","FW",90,1,0,0,0,3,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Erling Haaland","2021-2022","2021-09-04","Sat","WCQ","First round","Away","W 2–0","Norway","Latvia","Y","FW",87,1,0,1,1,9,5,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Erling Haaland","2021-2022","2021-09-07","Tue","WCQ","First round","Home","W 5–1","Norway","Gibraltar","Y","FW",90,3,0,0,0,9,4,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Erling Haaland","2021-2022","2021-09-11","Sat","Bundesliga","Matchweek 4","Away","W 4–3","Dortmund","Leverkusen","Y","FW",90,2,1,1,1,3,2,1,0,39,0,1,0,1.2,0.4,0.6,3,1,23,31,74.2,2,2,2
"10","Erling Haaland","2021-2022","2021-09-15","Wed","Champions Lg","Group stage","Away","W 2–1","Dortmund","Beşiktaş","Y","FW",85,1,0,0,0,4,2,0,0,36,0,0,0,1.4,1.4,0.5,2,0,13,19,68.4,2,0,4
"11","Erling Haaland","2021-2022","2021-09-19","Sun","Bundesliga","Matchweek 5","Home","W 4–2","Dortmund","Union Berlin","Y","FW",90,2,0,0,0,4,2,0,0,35,0,0,1,0.4,0.4,0,1,0,13,21,61.9,0,0,0
"12","Erling Haaland","2021-2022","2021-10-16","Sat","Bundesliga","Matchweek 8","Home","W 3–1","Dortmund","Mainz 05","Y","FW",90,2,0,1,1,3,2,0,0,33,0,0,1,1.2,0.4,0.6,4,1,20,25,80,1,0,1
"13","Erling Haaland","2021-2022","2021-10-19","Tue","Champions Lg","Group stage","Away","L 0–4","Dortmund","Ajax","Y","FW",90,0,0,0,0,4,3,0,0,42,0,0,0,0.9,0.9,0,2,0,15,29,51.7,2,2,5
